Date,Cam_flow,Rhee_flow,Granta_flow,Precipitation,JL_height
27/01/2015,1.15,1.38,0.386,0,
28/01/2015,1.2,1.46,0.432,2.153,
29/01/2015,1.27,1.57,0.478,0.356,
30/01/2015,1.56,2.08,0.591,2.727,
31/01/2015,2.23,3.49,1,2.451,
01/02/2015,2.5,4.4,1.19,0.702,
02/02/2015,1.66,3.61,0.669,0,
03/02/2015,1.5,2.55,0.516,1.198,3.938
04/02/2015,1.32,2.14,0.459,0.53,3.913
05/02/2015,1.28,2.06,0.486,0.883,3.907
06/02/2015,1.23,2.08,0.457,0.051,3.917
07/02/2015,1.21,1.92,0.405,0.216,3.903
08/02/2015,1.15,1.77,0.382,0.017,3.9
09/02/2015,1.15,1.72,0.378,0.052,3.897
10/02/2015,1.12,1.64,0.369,0.095,3.893
11/02/2015,1.13,1.61,0.369,,3.893
12/02/2015,1.12,1.58,0.365,,3.89
13/02/2015,1.14,1.6,0.388,,3.89
14/02/2015,1.21,1.68,0.451,,3.894
15/02/2015,1.16,1.66,0.418,,3.897
16/02/2015,1.28,1.82,0.469,,3.9
17/02/2015,1.9,2.72,0.786,,3.955
18/02/2015,1.41,2.45,0.556,,3.94
19/02/2015,1.37,2.22,0.514,,3.914
20/02/2015,2.22,2.31,0.987,,3.952
21/02/2015,1.85,2.35,0.773,,3.953
22/02/2015,1.64,2.15,0.645,,3.909
23/02/2015,2.44,2.48,1.04,,3.963
24/02/2015,1.64,2.37,0.64,,3.947
25/02/2015,1.33,2,0.516,,3.915
26/02/2015,1.42,2.12,0.671,,3.935
27/02/2015,1.49,2.62,0.729,,3.949
28/02/2015,1.37,2.42,0.588,,3.933
01/03/2015,1.3,2.26,0.537,,3.917
02/03/2015,1.23,1.96,0.453,,3.9
03/03/2015,1.16,1.74,0.402,,3.897
04/03/2015,1.14,1.61,0.362,,3.887
05/03/2015,1.07,1.51,0.351,,3.883
06/03/2015,1.07,1.48,0.347,,3.883
07/03/2015,1.07,1.49,0.318,,3.88
08/03/2015,1.07,1.48,0.338,,3.88
09/03/2015,1.06,1.45,0.333,,3.883
10/03/2015,1.04,1.42,0.319,,3.88
11/03/2015,1.05,1.36,0.286,,3.883
12/03/2015,1.03,1.34,0.293,,3.883
13/03/2015,1.02,1.32,0.281,,3.883
14/03/2015,0.997,1.29,0.284,,3.887
15/03/2015,0.994,1.28,0.303,,3.883
16/03/2015,1.02,1.29,0.308,,3.88
17/03/2015,1.06,1.29,0.315,,3.89
18/03/2015,1.01,1.27,0.297,,3.887
19/03/2015,1,1.25,0.298,,3.883
20/03/2015,0.991,1.24,0.297,,3.88
21/03/2015,0.984,1.23,0.29,,3.887
22/03/2015,0.991,1.21,0.287,,3.877
23/03/2015,1.11,1.21,0.29,,3.877
24/03/2015,1.03,1.21,0.288,,3.88
25/03/2015,0.935,1.19,0.285,,3.877
26/03/2015,0.988,1.25,0.31,,3.877
27/03/2015,0.983,1.19,0.297,,3.88
28/03/2015,0.978,1.18,0.291,,3.87
29/03/2015,0.996,1.23,0.308,,3.867
30/03/2015,0.95,1.19,0.303,,3.867
31/03/2015,0.974,1.16,0.29,,3.873
01/04/2015,0.948,1.13,0.297,,3.873
02/04/2015,1.22,1.29,0.394,,3.883
03/04/2015,1.12,1.29,0.347,,3.887
04/04/2015,0.979,1.26,0.334,,3.887
05/04/2015,0.949,1.2,0.305,,3.88
06/04/2015,0.918,1.16,0.284,,3.87
07/04/2015,0.934,1.12,0.271,,3.883
08/04/2015,0.908,1.11,0.268,,3.88
09/04/2015,0.876,1.1,0.266,,3.881
10/04/2015,0.885,1.1,0.264,,3.887
11/04/2015,0.858,1.09,0.257,,3.883
12/04/2015,0.833,1.04,0.248,,3.887
13/04/2015,0.856,1.02,0.249,,3.886
14/04/2015,0.844,1.01,0.248,,3.883
15/04/2015,0.825,1.02,0.244,,3.883
16/04/2015,0.812,0.994,0.239,,3.89
17/04/2015,0.82,0.982,0.225,,3.89
18/04/2015,0.786,0.955,0.223,,3.883
19/04/2015,0.771,0.955,0.225,,3.89
20/04/2015,0.814,0.948,0.22,,3.887
21/04/2015,0.793,0.925,0.22,,3.883
22/04/2015,0.788,0.871,0.222,,3.88
23/04/2015,0.77,0.866,0.198,,3.883
24/04/2015,0.773,0.865,0.213,,3.9
25/04/2015,0.84,0.891,0.235,,3.893
26/04/2015,0.858,0.941,0.255,,3.887
27/04/2015,0.804,0.877,0.224,,3.883
28/04/2015,0.76,0.838,0.213,,3.89
29/04/2015,0.793,0.907,0.22,,3.9
30/04/2015,0.762,0.92,0.213,,3.89
01/05/2015,0.751,0.907,0.206,,3.893
02/05/2015,0.722,0.885,0.203,,3.887
03/05/2015,0.769,0.922,0.219,,3.883
04/05/2015,0.764,0.927,0.222,,3.897
05/05/2015,0.822,0.989,0.233,,3.887
06/05/2015,0.722,0.894,0.209,,3.89
07/05/2015,0.699,0.865,0.199,,3.883
08/05/2015,0.685,0.86,0.196,,3.88
09/05/2015,0.669,0.842,0.188,,3.89
10/05/2015,0.634,0.801,0.183,,3.893
11/05/2015,0.671,0.784,0.182,,3.897
12/05/2015,0.668,0.769,0.179,,3.897
13/05/2015,0.658,0.737,0.174,,3.9
14/05/2015,0.737,0.775,0.192,,3.897
15/05/2015,0.677,0.813,0.184,,3.897
16/05/2015,0.637,0.755,0.17,,3.9
17/05/2015,0.613,0.724,0.164,,3.897
18/05/2015,0.742,0.79,0.186,,3.9
19/05/2015,0.665,0.809,0.204,,3.9
20/05/2015,0.643,0.769,0.181,,3.897
21/05/2015,0.614,0.734,0.168,,3.897
22/05/2015,0.591,0.719,0.163,,3.903
23/05/2015,0.583,0.698,0.157,,3.893
24/05/2015,0.571,0.69,0.153,,3.893
25/05/2015,0.57,0.682,0.151,,3.897
26/05/2015,0.565,0.678,0.156,,3.897
27/05/2015,0.575,0.662,0.148,,3.897
28/05/2015,0.537,0.645,0.143,,3.893
29/05/2015,0.554,0.64,0.141,,3.897
30/05/2015,0.519,0.631,0.135,,3.9
31/05/2015,0.543,0.642,0.139,,3.903
01/06/2015,0.546,0.623,0.133,,3.908
02/06/2015,0.547,0.613,0.128,,3.887
03/06/2015,0.507,0.572,0.122,,3.913
04/06/2015,0.478,0.55,0.119,,3.897
05/06/2015,0.469,0.563,0.118,,3.903
06/06/2015,0.44,0.549,0.111,,3.907
07/06/2015,0.426,0.526,0.106,,3.903
08/06/2015,0.44,0.525,0.108,,3.91
09/06/2015,0.451,0.528,0.106,,3.903
10/06/2015,0.43,0.517,0.104,,3.912
11/06/2015,0.43,0.522,0.1,,3.903
12/06/2015,0.416,0.51,0.1,,3.903
13/06/2015,0.444,0.513,0.103,,3.897
14/06/2015,0.465,0.527,0.105,,3.903
15/06/2015,0.461,0.51,0.102,,3.897
16/06/2015,0.459,0.494,0.094,,3.903
17/06/2015,0.432,0.485,0.094,,3.903
18/06/2015,0.409,0.469,0.089,,3.9
19/06/2015,0.398,0.459,0.086,,3.91
20/06/2015,0.382,0.463,0.089,,3.903
21/06/2015,0.375,0.461,0.085,,3.897
22/06/2015,0.388,0.458,0.088,,3.893
23/06/2015,0.412,0.457,0.084,,3.897
24/06/2015,0.385,0.443,0.079,,3.89
25/06/2015,0.355,0.404,0.078,,3.897
26/06/2015,0.323,0.398,0.076,,3.893
27/06/2015,0.332,0.396,0.066,,3.893
28/06/2015,0.317,0.395,0.06,,3.89
29/06/2015,0.336,0.387,0.061,,3.89
30/06/2015,0.38,0.369,0.061,,3.903
01/07/2015,0.338,0.355,0.059,,3.9
02/07/2015,0.388,0.351,0.058,,3.893
03/07/2015,0.36,0.353,0.062,,3.893
04/07/2015,0.35,0.444,0.061,,3.89
05/07/2015,0.329,0.402,0.059,,3.897
06/07/2015,0.359,0.361,0.056,,3.89
07/07/2015,0.352,0.359,0.06,,3.883
08/07/2015,0.354,0.356,0.056,,3.883
09/07/2015,0.357,0.346,0.054,,3.887
10/07/2015,0.328,0.339,0.049,,3.893
11/07/2015,0.306,0.336,0.045,,3.883
12/07/2015,0.303,0.344,0.052,,3.953
13/07/2015,0.382,0.37,0.06,,4.185
14/07/2015,0.409,0.374,0.058,,3.919
15/07/2015,0.398,0.365,0.054,,3.9
16/07/2015,0.411,0.626,0.081,,3.893
17/07/2015,0.386,1.32,0.055,,3.883
18/07/2015,0.319,0.746,0.043,,3.9
19/07/2015,0.296,0.535,0.04,,3.893
20/07/2015,0.305,0.482,0.043,,3.927
21/07/2015,0.363,0.441,0.039,,3.938
22/07/2015,0.355,0.421,0.039,,3.95
23/07/2015,0.323,0.405,0.037,,3.933
24/07/2015,0.482,0.547,0.135,,3.917
25/07/2015,0.673,0.813,0.104,,3.907
26/07/2015,0.388,0.669,0.073,,3.91
27/07/2015,0.397,0.635,0.061,,3.907
28/07/2015,0.402,0.554,0.057,,3.897
29/07/2015,0.394,0.501,0.05,,3.897
30/07/2015,0.388,0.475,0.047,,3.885
31/07/2015,0.382,0.449,0.045,,3.89
01/08/2015,0.357,0.436,0.04,,3.883
02/08/2015,0.337,0.405,0.037,,3.89
03/08/2015,0.369,0.397,0.038,,3.89
04/08/2015,0.368,0.387,0.035,,3.887
05/08/2015,0.366,0.382,0.037,,3.877
06/08/2015,0.325,0.383,0.037,,3.875
07/08/2015,0.296,0.377,0.035,,3.883
08/08/2015,0.284,0.366,0.03,,3.887
09/08/2015,0.283,0.358,0.026,,3.908
10/08/2015,0.287,0.361,0.029,,3.89
11/08/2015,0.289,0.364,0.029,,3.88
12/08/2015,0.292,0.352,0.028,,3.89
13/08/2015,0.335,0.371,0.041,,3.88
14/08/2015,0.399,0.399,0.042,,3.887
15/08/2015,0.272,0.409,0.034,,3.883
16/08/2015,0.252,0.38,0.028,,3.88
17/08/2015,0.255,0.366,0.028,,3.88
18/08/2015,0.298,0.376,0.043,,3.883
19/08/2015,0.305,0.382,0.034,,3.902
20/08/2015,0.288,0.372,0.032,,3.919
21/08/2015,0.283,0.365,0.03,,3.907
22/08/2015,0.262,0.344,0.025,,3.907
23/08/2015,0.266,0.344,0.046,,3.947
24/08/2015,0.438,0.428,0.071,,3.897
25/08/2015,0.443,0.501,0.044,,3.883
26/08/2015,0.705,0.51,0.23,,3.89
27/08/2015,0.756,0.497,0.18,,3.926
28/08/2015,0.409,0.43,0.07,,3.933
29/08/2015,0.316,0.397,0.05,,3.927
30/08/2015,0.372,0.395,0.042,,3.898
31/08/2015,0.715,0.487,0.262,,3.897
01/09/2015,0.636,0.532,0.199,,3.89
02/09/2015,0.502,0.503,0.113,,3.88
03/09/2015,0.439,0.477,0.075,,3.883
04/09/2015,0.347,0.446,0.061,,3.89
05/09/2015,0.358,0.432,0.055,,3.89
06/09/2015,0.338,0.416,0.049,,3.887
07/09/2015,0.37,0.403,0.047,,3.887
08/09/2015,0.37,0.403,0.048,,3.88
09/09/2015,0.361,0.401,0.043,,3.883
10/09/2015,0.363,0.393,0.043,,3.887
11/09/2015,0.339,0.382,0.042,,3.88
12/09/2015,0.357,0.378,0.039,,3.95
13/09/2015,0.286,0.373,0.059,,3.977
14/09/2015,0.373,0.395,0.052,,3.92
15/09/2015,0.485,0.421,0.107,,3.907
16/09/2015,0.698,0.608,0.264,,3.89
17/09/2015,0.915,0.819,0.475,,3.887
18/09/2015,0.528,0.641,0.183,,3.897
19/09/2015,0.432,0.554,0.136,,3.917
20/09/2015,0.367,0.507,0.088,,3.91
21/09/2015,0.431,0.51,0.089,,3.893
22/09/2015,0.465,0.727,0.096,,3.89
23/09/2015,0.43,0.747,0.207,,3.89
24/09/2015,0.409,0.616,0.117,,3.883
25/09/2015,0.397,0.565,0.069,,3.89
26/09/2015,0.373,0.524,0.062,,3.883
27/09/2015,0.362,0.502,0.062,,3.88
28/09/2015,0.402,0.486,0.059,,3.88
29/09/2015,0.407,0.481,0.057,,3.87
30/09/2015,0.378,0.441,0.054,,3.873
01/10/2015,0.379,0.43,0.058,,3.905
02/10/2015,0.411,0.43,0.07,,3.91
03/10/2015,0.397,0.435,0.053,,3.893
04/10/2015,0.37,0.433,0.051,,3.887
05/10/2015,0.426,0.452,0.061,,3.883
06/10/2015,0.48,0.482,0.129,,3.88
07/10/2015,0.451,0.493,0.15,,3.88
08/10/2015,0.415,0.478,0.072,,3.877
09/10/2015,0.397,0.454,0.068,,3.923
10/10/2015,0.396,0.444,0.063,,3.893
11/10/2015,0.393,0.438,0.06,,3.89
12/10/2015,0.508,0.43,0.06,,3.9
13/10/2015,0.416,0.426,0.062,,3.88
14/10/2015,0.393,0.42,0.058,,3.877
15/10/2015,0.348,0.425,0.057,,3.87
16/10/2015,0.395,0.428,0.058,,3.873
17/10/2015,0.403,0.424,0.056,,3.867
18/10/2015,0.409,0.423,0.055,,3.873
19/10/2015,0.424,0.427,0.057,,3.86
20/10/2015,0.427,0.424,0.055,,3.883
21/10/2015,0.479,0.455,0.07,,3.87
22/10/2015,0.451,0.456,0.059,,3.947
23/10/2015,0.444,0.438,0.059,,3.91
24/10/2015,0.435,0.438,0.054,,3.793
25/10/2015,0.469,0.434,0.051,,3.877
26/10/2015,0.457,0.431,0.054,,3.883
27/10/2015,0.46,0.439,0.057,,3.883
28/10/2015,0.755,0.881,0.224,,3.888
29/10/2015,0.579,0.884,0.169,,3.88
30/10/2015,0.49,0.688,0.1,,3.877
31/10/2015,0.431,0.626,0.086,,3.883
01/11/2015,0.412,0.577,0.077,,3.877
02/11/2015,0.436,0.544,0.073,,3.87
03/11/2015,0.438,0.536,0.07,,3.885
04/11/2015,0.851,0.642,0.314,,3.95
05/11/2015,1.03,0.699,0.375,,3.978
06/11/2015,0.827,0.683,0.279,,3.901
07/11/2015,0.78,0.724,0.268,,3.888
08/11/2015,1,0.785,0.358,,3.87
09/11/2015,0.718,0.733,0.196,,3.883
10/11/2015,0.582,0.678,0.142,,3.877
11/11/2015,0.494,0.633,0.117,,3.887
12/11/2015,0.465,0.603,0.104,,3.868
13/11/2015,0.471,0.582,0.094,,3.887
14/11/2015,0.525,0.582,0.097,,3.87
15/11/2015,0.515,0.576,0.094,,3.887
16/11/2015,0.506,0.575,0.113,,3.926
17/11/2015,1.01,0.804,0.612,,3.933
18/11/2015,1.32,0.888,0.575,,3.913
19/11/2015,0.752,0.811,0.254,,3.925
20/11/2015,0.618,0.753,0.177,,3.928
21/11/2015,0.705,0.73,0.219,,3.887
22/11/2015,0.733,0.721,0.258,,3.893
23/11/2015,0.661,0.685,0.193,,3.883
24/11/2015,0.943,0.827,0.701,,3.88
25/11/2015,1.14,0.953,0.63,,3.89
26/11/2015,0.837,0.915,0.325,,3.898
27/11/2015,0.712,0.858,0.241,,3.907
28/11/2015,0.659,0.833,0.213,,3.893
29/11/2015,0.629,0.808,0.198,,3.897
30/11/2015,1.14,0.863,0.236,,3.918
01/12/2015,2.6,1.49,0.998,,3.957
02/12/2015,1.54,1.69,0.524,,3.916
03/12/2015,0.981,1.34,0.287,,3.92
04/12/2015,0.938,1.2,0.302,,3.923
05/12/2015,0.818,1.1,0.235,,3.995
06/12/2015,0.722,1.03,0.187,,3.963
07/12/2015,0.66,0.972,0.151,,3.972
08/12/2015,0.645,0.931,0.14,,4.068
09/12/2015,0.631,0.882,0.132,,3.963
10/12/2015,0.645,0.867,0.13,,3.976
11/12/2015,0.689,0.89,0.168,,3.968
12/12/2015,0.892,0.928,0.326,,4.128
13/12/2015,1.85,1.39,0.895,,3.992
14/12/2015,1.6,1.73,0.644,,3.987
15/12/2015,1.23,1.53,0.427,,4.153
16/12/2015,1.4,1.59,0.73,,4.304
17/12/2015,1.23,1.55,0.465,,4.118
18/12/2015,1.01,1.38,0.301,,4.027
19/12/2015,0.805,1.24,0.24,,3.928
20/12/2015,0.786,1.17,0.21,,3.907
21/12/2015,0.782,1.08,0.182,,3.923
22/12/2015,0.844,1.09,0.223,,3.91
23/12/2015,1.36,1.29,0.683,,3.91
24/12/2015,1.2,1.39,0.438,,3.91
25/12/2015,0.946,1.45,0.345,,4.163
26/12/2015,0.911,1.41,0.357,,3.914
27/12/2015,1.22,1.6,0.67,,3.918
28/12/2015,1.42,2.13,0.682,,3.917
29/12/2015,1.06,1.82,0.398,,3.917
30/12/2015,1,1.58,0.325,,3.906
31/12/2015,1.8,2.08,0.804,,3.905
01/01/2016,1.98,2.48,0.842,,3.91
02/01/2016,1.6,2.39,0.648,,3.889
03/01/2016,2.73,2.46,1.37,,3.9
04/01/2016,3.34,2.85,1.51,,3.904
05/01/2016,1.77,2.51,0.736,,3.913
06/01/2016,1.24,2.1,0.463,,3.9
07/01/2016,3.09,2.48,1.74,,3.9
08/01/2016,2.34,2.99,1.19,,3.893
09/01/2016,1.74,2.62,0.687,,3.893
10/01/2016,1.93,3.1,0.77,,3.894
11/01/2016,5.19,5.32,2.75,,3.889
12/01/2016,5.5,7.39,2.11,,3.887
13/01/2016,2.1,6.18,0.909,,3.89
14/01/2016,1.79,3.4,0.66,,3.897
15/01/2016,1.48,2.62,0.504,,3.88
16/01/2016,1.33,2.25,0.435,,3.897
17/01/2016,1.24,2.1,0.398,,3.897
18/01/2016,1.14,2.05,0.375,,3.893
19/01/2016,1.17,1.96,0.363,,3.883
20/01/2016,1.13,1.84,0.342,,3.893
21/01/2016,1.11,1.75,0.322,,3.907
22/01/2016,1.14,1.77,0.337,,3.92
23/01/2016,1.21,1.8,0.36,,3.91
24/01/2016,1.1,1.88,0.402,,3.9
25/01/2016,1.24,1.96,0.406,,3.895
26/01/2016,1.18,1.92,0.365,,3.907
27/01/2016,1.18,1.89,0.381,,3.893
28/01/2016,1.09,1.72,0.317,,3.895
29/01/2016,1.07,1.66,0.307,,3.894
30/01/2016,1.22,1.7,0.33,,3.897
31/01/2016,1.14,1.68,0.327,,3.893
01/02/2016,1.14,1.67,0.32,,3.891
02/02/2016,1.09,1.59,0.301,,3.887
03/02/2016,1.06,1.52,0.283,,3.887
04/02/2016,1.04,1.48,0.286,,3.9
05/02/2016,1.03,1.47,0.291,,3.92
06/02/2016,1.07,1.53,0.315,,3.914
07/02/2016,1.19,1.56,0.327,,3.92
08/02/2016,1.11,1.56,0.324,,3.907
09/02/2016,0.963,1.49,0.298,,3.89
10/02/2016,1,1.44,0.279,,3.893
11/02/2016,1.05,1.36,0.265,,3.951
12/02/2016,0.985,1.35,0.264,,4.05
13/02/2016,1,1.36,0.263,,3.949
14/02/2016,0.993,1.34,0.257,,3.906
15/02/2016,0.906,1.26,0.247,,3.914
16/02/2016,0.917,1.22,0.245,,3.904
17/02/2016,1.04,1.38,0.292,,3.89
18/02/2016,1.19,1.96,0.391,,3.9
19/02/2016,1.15,1.86,0.359,,3.89
20/02/2016,1,1.73,0.336,,3.897
21/02/2016,1.02,1.63,0.314,,3.887
22/02/2016,0.993,1.6,0.339,,3.89
23/02/2016,0.922,1.51,0.315,,3.877
24/02/2016,0.916,1.43,0.286,,3.89
25/02/2016,0.9,1.39,0.277,,3.883
26/02/2016,0.89,1.37,0.27,,3.883
27/02/2016,0.864,1.35,0.259,,3.889
28/02/2016,0.851,1.29,0.246,,3.874
29/02/2016,0.863,1.27,0.243,,3.883
01/03/2016,0.983,1.36,0.294,,3.991
02/03/2016,0.934,1.46,0.366,,4.008
03/03/2016,1.29,1.45,0.583,,3.898
04/03/2016,1.61,1.47,0.895,,3.917
05/03/2016,1.34,1.42,0.615,,3.897
06/03/2016,1.21,1.35,0.608,,3.893
07/03/2016,1.12,1.33,0.489,,3.9
08/03/2016,1.06,1.3,0.4,,3.893
09/03/2016,2.78,1.99,1.64,,3.893
10/03/2016,1.95,2.58,1.05,,3.88
11/03/2016,1.4,2.17,0.609,,3.89
12/03/2016,1.1,1.87,0.425,,3.883
13/03/2016,1.03,1.68,0.365,,3.883
14/03/2016,0.948,1.59,0.331,,3.88
15/03/2016,1.09,1.52,0.317,,3.887
16/03/2016,0.921,1.39,0.278,,3.887
17/03/2016,0.829,1.32,0.282,,3.89
18/03/2016,0.818,1.3,0.275,,3.898
19/03/2016,0.847,1.28,0.265,,3.943
20/03/2016,0.853,1.25,0.258,,4.069
21/03/2016,0.858,1.23,0.267,,4.015
22/03/2016,0.849,1.2,0.267,,3.933
23/03/2016,0.848,1.19,0.266,,3.897
24/03/2016,0.945,1.2,0.282,,3.91
25/03/2016,0.882,1.28,0.306,,3.91
26/03/2016,0.999,1.26,0.297,,3.9
27/03/2016,0.996,1.46,0.361,,3.89
28/03/2016,3.91,3.13,1.9,,3.89
29/03/2016,1.98,3.18,0.819,,3.897
30/03/2016,1.26,2.28,0.534,,3.897
31/03/2016,1.13,1.85,0.415,,3.9
01/04/2016,1,1.63,0.363,,3.897
02/04/2016,0.993,1.53,0.349,,3.893
03/04/2016,0.954,1.51,0.359,,3.893
04/04/2016,1.02,1.45,0.388,,3.893
05/04/2016,0.882,1.37,0.338,,3.883
06/04/2016,0.896,1.31,0.314,,3.893
07/04/2016,0.865,1.29,0.307,,3.893
08/04/2016,0.855,1.24,0.306,,3.893
09/04/2016,0.842,1.24,0.299,,3.897
10/04/2016,0.822,1.21,0.289,,3.893
11/04/2016,0.832,1.19,0.295,,3.887
12/04/2016,1.08,1.33,0.476,,3.893
13/04/2016,1.1,1.32,0.53,,3.907
14/04/2016,1.62,1.27,0.543,,3.897
15/04/2016,3.18,1.85,1.53,,3.893
16/04/2016,3.09,2.47,1.91,,3.89
17/04/2016,1.72,2.63,0.905,,3.903
18/04/2016,1.21,1.99,0.565,,3.897
19/04/2016,1.07,1.65,0.431,,3.89
20/04/2016,0.987,1.47,0.366,,3.89
21/04/2016,0.947,1.4,0.344,,3.893
22/04/2016,0.974,1.38,0.332,,3.9
23/04/2016,0.928,1.34,0.319,,3.893
24/04/2016,0.904,1.31,0.311,,3.893
25/04/2016,0.924,1.31,0.314,,3.893
26/04/2016,0.922,1.29,0.265,,3.897
27/04/2016,0.91,1.16,0.261,,3.903
28/04/2016,0.948,1.15,0.267,,3.893
29/04/2016,0.88,1.22,0.259,,3.9
30/04/2016,0.838,1.09,0.239,,3.897
01/05/2016,0.816,1.05,0.232,,3.897
02/05/2016,0.841,1.04,0.237,,3.897
03/05/2016,0.816,1.03,0.232,,3.9
04/05/2016,0.803,0.993,0.225,,3.97
05/05/2016,0.814,0.951,0.222,,3.95
06/05/2016,0.8,0.952,0.222,,3.933
07/05/2016,0.767,0.941,0.218,,3.917
08/05/2016,0.753,0.912,0.212,,3.917
09/05/2016,0.758,0.887,0.211,,3.917
10/05/2016,0.823,0.95,0.242,,3.913
11/05/2016,0.84,0.992,0.245,,3.899
12/05/2016,0.773,1,0.219,,3.913
13/05/2016,0.746,0.933,0.208,,3.913
14/05/2016,0.709,0.886,0.201,,3.91
15/05/2016,0.704,0.862,0.197,,3.903
16/05/2016,0.724,0.849,0.196,,3.893
17/05/2016,0.703,0.837,0.191,,3.917
18/05/2016,0.733,0.855,0.196,,3.925
19/05/2016,0.716,0.865,0.191,,3.92
20/05/2016,0.661,0.813,0.181,,3.958
21/05/2016,0.639,0.795,0.178,,3.92
22/05/2016,0.635,0.786,0.175,,3.917
23/05/2016,0.642,0.774,0.171,,3.917
24/05/2016,0.638,0.748,0.166,,3.933
25/05/2016,0.647,0.745,0.172,,4.003
26/05/2016,0.626,0.747,0.165,,3.94
27/05/2016,0.601,0.737,0.158,,4.027
28/05/2016,0.587,0.733,0.156,,4.146
29/05/2016,0.564,0.723,0.154,,4.02
30/05/2016,0.608,0.715,0.156,,3.997
31/05/2016,0.981,0.951,0.392,,3.965
01/06/2016,0.755,1.05,0.259,,3.94
02/06/2016,0.671,0.946,0.207,,3.935
03/06/2016,0.682,0.876,0.188,,3.935
04/06/2016,0.67,0.833,0.18,,3.926
05/06/2016,0.644,0.788,0.169,,3.92
06/06/2016,0.64,0.74,0.163,,3.923
07/06/2016,0.637,0.737,0.172,,3.913
08/06/2016,0.684,0.732,0.163,,3.913
09/06/2016,0.645,0.704,0.153,,3.91
10/06/2016,0.612,0.687,0.145,,3.907
11/06/2016,0.642,0.68,0.135,,3.907
12/06/2016,0.676,0.685,0.133,,3.9
13/06/2016,0.662,0.746,0.166,,3.903
14/06/2016,0.708,0.774,0.194,,3.893
15/06/2016,0.766,0.709,0.202,,3.932
16/06/2016,0.666,0.759,0.158,,3.96
17/06/2016,0.635,0.739,0.153,,3.917
18/06/2016,0.62,0.687,0.146,,3.913
19/06/2016,0.595,0.672,0.139,,3.907
20/06/2016,0.96,0.81,0.398,,3.903
21/06/2016,0.812,0.82,0.309,,3.9
22/06/2016,0.687,0.743,0.186,,3.9
23/06/2016,1.53,1.3,0.722,,3.885
24/06/2016,1.66,1.71,0.763,,3.877
25/06/2016,0.886,1.15,0.483,,3.89
26/06/2016,0.735,1.03,0.603,,3.89
27/06/2016,0.745,0.902,0.295,,3.877
28/06/2016,0.696,0.811,0.234,,3.89
29/06/2016,0.678,0.796,0.184,,3.885
30/06/2016,0.669,0.759,0.184,,3.88
01/07/2016,0.609,0.711,0.172,,3.88
02/07/2016,0.569,0.686,0.158,,3.88
03/07/2016,0.543,0.652,0.149,,3.88
04/07/2016,0.551,0.643,0.148,,3.877
05/07/2016,0.536,0.63,0.145,,3.88
06/07/2016,0.522,0.618,0.139,,3.887
07/07/2016,0.499,0.616,0.135,,3.886
08/07/2016,0.495,0.607,0.134,,3.877
09/07/2016,0.465,0.607,0.128,,3.873
10/07/2016,0.435,0.598,0.125,,3.87
11/07/2016,0.442,0.599,0.126,,3.86
12/07/2016,0.583,0.693,0.171,,3.867
13/07/2016,0.801,0.926,0.191,,3.863
14/07/2016,0.569,0.784,0.139,,3.867
15/07/2016,0.509,0.686,0.128,,3.869
16/07/2016,0.482,0.627,0.136,,3.863
17/07/2016,0.449,0.559,0.124,,3.86
18/07/2016,0.46,0.526,0.115,,3.867
19/07/2016,0.447,0.496,0.11,,3.867
20/07/2016,0.427,0.478,0.105,,3.867
21/07/2016,0.42,0.469,0.101,,3.863
22/07/2016,0.413,0.484,0.102,,3.86
23/07/2016,0.39,0.485,0.093,,3.863
24/07/2016,0.383,0.465,0.089,,3.86
25/07/2016,0.394,0.453,0.089,,3.863
26/07/2016,0.395,0.446,0.085,,3.863
27/07/2016,0.417,0.448,0.09,,3.863
28/07/2016,0.409,0.452,0.089,,3.86
29/07/2016,0.411,0.461,0.093,,3.857
30/07/2016,0.378,0.451,0.086,,3.853
31/07/2016,0.365,0.438,0.081,,3.853
01/08/2016,0.361,0.435,0.091,,3.874
02/08/2016,0.42,0.487,0.105,,3.863
03/08/2016,0.424,0.493,0.095,,3.867
04/08/2016,0.376,0.458,0.087,,3.857
05/08/2016,0.375,0.441,0.084,,3.857
06/08/2016,0.364,0.421,0.073,,3.86
07/08/2016,0.339,0.402,0.068,,3.857
08/08/2016,0.351,0.395,0.073,,3.86
09/08/2016,0.349,0.392,0.072,,3.86
10/08/2016,0.331,0.395,0.073,,3.86
11/08/2016,0.327,0.408,0.075,,3.863
12/08/2016,0.303,0.402,0.067,,3.86
13/08/2016,0.354,0.394,0.059,,3.857
14/08/2016,0.33,0.392,0.057,,3.865
15/08/2016,0.312,0.39,0.057,,3.86
16/08/2016,0.326,0.384,0.063,,3.86
17/08/2016,0.332,0.379,0.064,,3.86
18/08/2016,0.306,0.376,0.059,,3.857
19/08/2016,0.334,0.397,0.061,,3.847
20/08/2016,0.325,0.399,0.053,,3.878
21/08/2016,0.306,0.388,0.052,,3.877
22/08/2016,0.335,0.387,0.061,,3.867
23/08/2016,0.318,0.352,0.054,,3.867
24/08/2016,0.317,0.34,0.053,,3.863
25/08/2016,0.319,0.349,0.053,,3.863
26/08/2016,0.293,0.349,0.048,,3.863
27/08/2016,0.258,0.344,0.042,,3.857
28/08/2016,0.317,0.361,0.087,,3.86
29/08/2016,0.246,0.39,0.057,,3.857
